"rid", "binaryID"
43,111010111011111111011001100000001101010110011110100001
454,111010111011111111011001110110101111011111001101010000
460,111010111011111111011001110110101111011111001101010001
505,111010111011111111011001110110101111011111001101010110
531,111010111011111111011001110110101111011111001101010111
683,111010111011111111011001110110101111011111001110011010
698,111010111011111111011001110110101111011111001110011011
671,111010111011111111011001110110101111011111001110111110
686,111010111011111111011001110110101111011111001110111111
44,1110101110111111110110011000000011010101100111101000010
45,1110101110111111110110011000000011010101100111101000011
422,1110101110111111110110011101101011110111110011010100000
423,1110101110111111110110011101101011110111110011010100001
540,1110101110111111110110011101101011110111110011010101110
564,1110101110111111110110011101101011110111110011010101111
689,1110101110111111110110011101101011110111110011100110100
705,1110101110111111110110011101101011110111110011100110101
699,1110101110111111110110011101101011110111110011100110110
800,1110101110111111110110011101101011110111110011100110111
643,1110101110111111110110011101101011110111110011101111100
650,1110101110111111110110011101101011110111110011101111101
46,11101011101111111101100110000000110101011001111010000110
47,11101011101111111101100110000000110101011001111010000111
395,11101011101111111101100111011010111101111100110101000000
396,11101011101111111101100111011010111101111100110101000001
419,11101011101111111101100111011010111101111100110101000010
428,11101011101111111101100111011010111101111100110101000011
709,11101011101111111101100111011010111101111100111001101110
715,11101011101111111101100111011010111101111100111001101111
635,11101011101111111101100111011010111101111100111011111000
636,11101011101111111101100111011010111101111100111011111001
48,111010111011111111011001100000001101010110011110100001110
54,111010111011111111011001100000001101010110011110100001111
345,111010111011111111011001110110101111011111001101010000000
357,111010111011111111011001110110101111011111001101010000001
434,111010111011111111011001110110101111011111001101010000110
461,111010111011111111011001110110101111011111001101010000111
711,111010111011111111011001110110101111011111001110011011100
719,111010111011111111011001110110101111011111001110011011101
716,111010111011111111011001110110101111011111001110011011110
718,111010111011111111011001110110101111011111001110011011111
608,111010111011111111011001110110101111011111001110111110010
609,111010111011111111011001110110101111011111001110111110011
94,1110101110111111110110011000000011010101100111101000011110
97,1110101110111111110110011000000011010101100111101000011111
316,1110101110111111110110011101101011110111110011010100000000
317,1110101110111111110110011101101011110111110011010100000001
