Month ,Variable,Period,GCM,Value
1,P,H,IPSL-CM5A-MR,356.94
2,P,H,IPSL-CM5A-MR,279.90
3,P,H,IPSL-CM5A-MR,262.70
4,P,H,IPSL-CM5A-MR,191.20
5,P,H,IPSL-CM5A-MR,135.01
6,P,H,IPSL-CM5A-MR,117.62
7,P,H,IPSL-CM5A-MR,54.06
8,P,H,IPSL-CM5A-MR,72.93
9,P,H,IPSL-CM5A-MR,95.68
10,P,H,IPSL-CM5A-MR,297.89
11,P,H,IPSL-CM5A-MR,387.30
12,P,H,IPSL-CM5A-MR,361.33
1,P,F,IPSL-CM5A-MR,406.14
2,P,F,IPSL-CM5A-MR,242.21
3,P,F,IPSL-CM5A-MR,218.45
4,P,F,IPSL-CM5A-MR,173.35
5,P,F,IPSL-CM5A-MR,158.43
6,P,F,IPSL-CM5A-MR,116.81
7,P,F,IPSL-CM5A-MR,79.08
8,P,F,IPSL-CM5A-MR,69.92
9,P,F,IPSL-CM5A-MR,119.49
10,P,F,IPSL-CM5A-MR,269.13
11,P,F,IPSL-CM5A-MR,448.37
12,P,F,IPSL-CM5A-MR,378.44
1,T,H,IPSL-CM5A-MR,1.25
2,T,H,IPSL-CM5A-MR,2.69
3,T,H,IPSL-CM5A-MR,3.50
4,T,H,IPSL-CM5A-MR,6.10
5,T,H,IPSL-CM5A-MR,9.99
6,T,H,IPSL-CM5A-MR,12.26
7,T,H,IPSL-CM5A-MR,16.45
8,T,H,IPSL-CM5A-MR,16.71
9,T,H,IPSL-CM5A-MR,14.26
10,T,H,IPSL-CM5A-MR,9.46
11,T,H,IPSL-CM5A-MR,4.12
12,T,H,IPSL-CM5A-MR,1.28
1,T,F,IPSL-CM5A-MR,4.36
2,T,F,IPSL-CM5A-MR,7.10
3,T,F,IPSL-CM5A-MR,8.62
4,T,F,IPSL-CM5A-MR,11.30
5,T,F,IPSL-CM5A-MR,14.72
6,T,F,IPSL-CM5A-MR,19.25
7,T,F,IPSL-CM5A-MR,23.09
8,T,F,IPSL-CM5A-MR,22.93
9,T,F,IPSL-CM5A-MR,20.72
10,T,F,IPSL-CM5A-MR,15.59
11,T,F,IPSL-CM5A-MR,9.63
12,T,F,IPSL-CM5A-MR,5.98
1,P,H,MIROC5,324.46
2,P,H,MIROC5,228.34
3,P,H,MIROC5,213.93
4,P,H,MIROC5,182.98
5,P,H,MIROC5,129.19
6,P,H,MIROC5,112.34
7,P,H,MIROC5,66.94
8,P,H,MIROC5,46.05
9,P,H,MIROC5,88.28
10,P,H,MIROC5,285.21
11,P,H,MIROC5,378.39
12,P,H,MIROC5,299.73
1,P,F,MIROC5,365.80
2,P,F,MIROC5,272.84
3,P,F,MIROC5,331.00
4,P,F,MIROC5,222.71
5,P,F,MIROC5,112.54
6,P,F,MIROC5,88.28
7,P,F,MIROC5,48.06
8,P,F,MIROC5,58.46
9,P,F,MIROC5,112.79
10,P,F,MIROC5,250.76
11,P,F,MIROC5,374.49
12,P,F,MIROC5,465.73
1,T,H,MIROC5,0.40
2,T,H,MIROC5,2.65
3,T,H,MIROC5,4.09
4,T,H,MIROC5,6.85
5,T,H,MIROC5,10.03
6,T,H,MIROC5,12.54
7,T,H,MIROC5,15.49
8,T,H,MIROC5,16.12
9,T,H,MIROC5,13.77
10,T,H,MIROC5,8.29
11,T,H,MIROC5,3.65
12,T,H,MIROC5,0.44
1,T,F,MIROC5,4.55
2,T,F,MIROC5,5.66
3,T,F,MIROC5,6.63
4,T,F,MIROC5,9.81
5,T,F,MIROC5,12.88
6,T,F,MIROC5,16.56
7,T,F,MIROC5,20.76
8,T,F,MIROC5,21.75
9,T,F,MIROC5,17.89
10,T,F,MIROC5,12.23
11,T,F,MIROC5,7.36
12,T,F,MIROC5,4.77
1,P,H,NorESM1-M,327.90
2,P,H,NorESM1-M,227.57
3,P,H,NorESM1-M,248.85
4,P,H,NorESM1-M,196.68
5,P,H,NorESM1-M,144.32
6,P,H,NorESM1-M,102.61
7,P,H,NorESM1-M,51.20
8,P,H,NorESM1-M,51.37
9,P,H,NorESM1-M,121.72
10,P,H,NorESM1-M,258.61
11,P,H,NorESM1-M,345.04
12,P,H,NorESM1-M,287.42
1,P,F,NorESM1-M,471.85
2,P,F,NorESM1-M,303.75
3,P,F,NorESM1-M,286.95
4,P,F,NorESM1-M,220.14
5,P,F,NorESM1-M,112.63
6,P,F,NorESM1-M,102.76
7,P,F,NorESM1-M,46.76
8,P,F,NorESM1-M,32.55
9,P,F,NorESM1-M,88.84
10,P,F,NorESM1-M,265.71
11,P,F,NorESM1-M,415.84
12,P,F,NorESM1-M,493.11
1,T,H,NorESM1-M,-0.47
2,T,H,NorESM1-M,2.65
3,T,H,NorESM1-M,3.41
4,T,H,NorESM1-M,5.72
5,T,H,NorESM1-M,9.56
6,T,H,NorESM1-M,13.18
7,T,H,NorESM1-M,15.76
8,T,H,NorESM1-M,16.57
9,T,H,NorESM1-M,14.02
10,T,H,NorESM1-M,8.93
11,T,H,NorESM1-M,3.50
12,T,H,NorESM1-M,-0.01
1,T,F,NorESM1-M,4.61
2,T,F,NorESM1-M,6.11
3,T,F,NorESM1-M,6.58
4,T,F,NorESM1-M,8.82
5,T,F,NorESM1-M,14.28
6,T,F,NorESM1-M,18.48
7,T,F,NorESM1-M,22.68
8,T,F,NorESM1-M,22.85
9,T,F,NorESM1-M,19.25
10,T,F,NorESM1-M,12.16
11,T,F,NorESM1-M,7.32
12,T,F,NorESM1-M,3.91
